batch_id,copy_time_us,kernel_time_us
690,10.176,17.664
691,10.112,18.592
692,10.336,19.072
693,17.568,18.464
694,10.08,17.824
695,17.6,18.464
696,18.24,17.44
697,17.632,18.432
698,18.24,17.44
699,18.496,17.44
700,10.144,17.664
701,17.664,18.432
702,18.048,18.432
703,17.632,18.464
704,9.984,18.304
705,18.208,18.208
706,10.048,18.464
707,10.048,18.144
708,17.248,18.4
709,17.568,18.496
710,17.152,11.296
711,10.016,18.432
712,17.6,18.496
713,10.016,17.728
714,17.984,18.464
715,9.92,17.952
716,10.08,18.272
717,10.016,17.824
718,18.56,17.408
719,10.016,18.08
720,18.432,17.44
721,18.464,17.472
722,17.632,18.432
723,10.4,17.984
724,13.792,12.192
725,18.464,17.408
726,10.304,17.44
727,17.856,18.464
728,10.176,18.016
729,18.592,17.344
730,17.696,18.464
731,17.536,18.496
732,17.696,18.464
733,10.048,17.824
734,10.048,18.24
735,17.824,18.432
736,10.112,17.664
737,17.536,18.464
738,17.6,17.728
739,16.128,18.88
740,17.504,17.728
741,16.992,17.728
742,16.992,17.728
743,16.832,17.728
744,17.152,17.472
745,17.632,17.728
746,16.192,18.912
747,16.928,17.728
748,15.84,19.104
749,17.504,17.728
750,17.024,17.76
751,17.024,17.728
752,17.12,17.76
753,17.056,17.728
754,16.416,19.072
755,16.064,19.072
756,17.184,17.728
757,9.312,19.008
758,9.344,11.936
759,17.024,17.728
760,10.368,17.696
761,17.408,18.432
762,17.408,11.296
763,10.144,17.6
764,10.048,17.888
765,18.24,17.44
766,17.92,18.464
767,17.728,18.464
768,17.248,18.464
769,10.048,17.792
770,17.216,18.464
771,18.144,18.368
772,10.24,18.112
773,10.048,17.632
774,10.016,17.92
775,17.888,18.368
776,10.048,19.104
777,10.112,17.76
778,11.808,12.064
779,10.4,18.272
780,17.632,18.432
781,9.984,17.824
782,17.92,18.432
783,17.472,18.464
784,17.536,18.464
785,17.44,18.464
786,17.536,18.432
787,10.048,18.176
788,17.088,11.296
789,17.12,11.296
790,18.144,18.432
791,9.888,18.24
792,17.728,18.464
793,18.432,17.408
794,17.856,18.464
795,18.016,18.432
796,18.4,17.408
797,10.112,17.664
798,10.208,17.728
799,17.568,18.432
800,17.856,18.464
801,17.504,18.432
802,17.568,18.464
803,17.6,18.464
804,17.376,18.464
805,10.08,17.856
806,9.984,17.792
807,17.92,18.336
808,17.28,11.232
809,18.144,18.144
810,17.92,18.464
811,10.048,17.792
812,17.536,18.496
813,17.536,18.432
814,17.568,18.432
815,10.048,17.632
816,17.792,18.432
817,17.6,18.496
818,17.312,18.496
819,18.496,17.44
820,18.144,18.432
821,17.504,18.464
822,18.176,17.44
823,10.016,17.888
824,9.92,17.952
825,17.6,18.464
826,10.208,19.232
827,17.152,19.104
828,17.056,17.728
829,15.776,19.072
830,16.192,18.912
831,16.128,19.072
832,17.056,17.728
833,17.152,17.696
834,15.808,19.072
835,16.864,17.728
836,15.808,19.072
837,16.448,18.912
838,16.992,17.728
839,16.768,17.728
840,17.344,17.696
841,16.032,18.912
842,16.8,18.048
843,17.088,17.76
844,17.056,17.728
845,16.832,18.912
846,17.504,17.696
847,16.672,18.784
848,9.92,17.6
849,17.76,18.432
850,18.112,18.432
851,10.016,17.92
852,10.048,17.888
853,17.792,18.464
854,17.664,18.464
855,17.088,11.296
856,17.248,18.432
857,17.6,18.432
858,18.016,18.432
859,18.144,18.432
860,17.6,18.464
861,10.048,18.24
862,10.272,18.56
863,17.824,18.432
864,10.016,18.496
865,17.312,18.432
866,16.96,11.296
867,18.048,18.496
868,17.44,11.296
869,17.504,18.464
870,9.888,18.144
871,17.568,18.464
872,9.92,17.92
873,17.472,18.464
874,17.504,18.432
875,17.088,18.432
876,9.984,17.696
877,17.952,18.112
